比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,182,012979,大成恒生科技,07-01,0.8880,0.8880,-0.08%,-0.10%,2.03%,-2.91%,14.17%,43.71%,27.51%,10.61%,14.17%,-11.20%,43.71%,0.12%,
,183,017547,天弘国证20,07-01,1.0998,1.0998,0.23%,3.22%,7.91%,7.10%,19.04%,43.71%,9.96%,---,19.04%,9.98%,43.71%,0.15%,
,184,015860,宝盈国证证券,07-01,1.2296,1.2296,-0.61%,2.41%,7.45%,4.20%,-2.47%,43.63%,26.89%,---,-2.47%,22.96%,43.63%,0.00%,
,185,012980,大成恒生科技,07-01,0.8775,0.8775,-0.07%,-0.10%,2.01%,-3.00%,13.95%,43.62%,26.92%,9.66%,13.95%,-12.25%,43.62%,0.00%,
,186,015788,鹏扬中证数字,07-01,1.1668,1.1668,-1.01%,2.06%,3.86%,-1.29%,-0.25%,43.61%,6.39%,---,-0.25%,16.68%,43.61%,0.00%,
,187,012636,国泰中证全指,07-01,0.8393,0.8393,-1.57%,3.21%,6.19%,0.58%,5.44%,43.57%,-16.30%,6.08%,5.44%,-16.07%,43.57%,0.10%,
,188,004070,南方中证全指,07-01,1.1734,1.1734,-0.44%,2.54%,7.84%,3.95%,-3.30%,43.55%,29.14%,18.00%,-3.30%,17.34%,43.55%,0.00%,
,189,019786,广发上证科创,07-01,1.1843,1.1843,-0.70%,1.50%,4.03%,0.55%,12.49%,43.55%,---,---,12.49%,18.43%,43.55%,0.00%,
,190,018385,招商中证全指,07-01,0.8337,0.8337,-1.57%,3.24%,6.48%,1.03%,6.19%,43.54%,-15.49%,---,6.19%,-16.63%,43.54%,0.12%,
,191,161030,富国中证体育,07-01,1.0230,0.6840,0.39%,3.86%,10.12%,11.80%,14.81%,43.48%,-8.82%,25.52%,14.81%,-31.00%,43.48%,0.12%,
,192,001420,南方大数据3,07-01,1.5783,1.5783,0.55%,2.87%,8.70%,7.43%,18.96%,43.47%,18.39%,8.65%,18.96%,57.83%,43.47%,0.12%,
