比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,178,020510,金鹰科技致远,07-01,1.5898,1.5898,0.49%,4.86%,11.62%,6.37%,16.38%,53.71%,---,---,16.38%,58.98%,53.71%,0.15%,
,179,002112,德邦鑫星价值,07-01,1.7332,1.8812,-0.36%,8.05%,30.08%,20.76%,7.89%,53.65%,50.41%,31.92%,7.89%,101.94%,53.65%,0.00%,
,180,012877,富荣福耀混合,07-01,0.9036,0.9036,0.53%,2.52%,6.09%,14.11%,25.08%,53.60%,9.77%,-9.82%,25.08%,-9.64%,53.60%,0.00%,
,181,015044,西部利得时代,07-01,1.0535,1.0535,0.18%,3.99%,7.35%,2.41%,12.12%,53.59%,20.19%,2.08%,12.12%,5.35%,53.59%,0.00%,
,182,001543,宝盈新锐混合,07-01,2.6910,2.6910,-0.15%,2.44%,8.07%,9.08%,19.97%,53.51%,-4.47%,-24.81%,19.97%,169.10%,53.51%,0.15%,
,183,012094,鹏华创新升级,07-01,1.1491,1.1491,3.76%,0.82%,4.59%,16.72%,47.09%,53.42%,43.91%,31.48%,47.09%,14.91%,53.42%,0.00%,
,184,519959,长信多利混合,07-01,1.9624,2.1724,0.64%,3.21%,5.47%,13.39%,33.58%,53.30%,32.77%,2.95%,33.58%,128.97%,53.30%,0.15%,
,185,002281,建信裕利灵活,07-01,2.4339,2.4339,-0.03%,3.89%,7.76%,-2.64%,18.85%,53.25%,23.20%,2.22%,18.85%,143.39%,53.25%,0.15%,
,186,011925,嘉实港股互联,07-01,0.8018,0.8018,-0.09%,0.59%,6.04%,6.69%,31.06%,53.25%,26.11%,9.73%,31.06%,-19.82%,53.25%,0.00%,
,187,019347,富国匠心成长,07-01,1.5040,1.5040,0.76%,2.48%,4.47%,2.48%,29.45%,53.13%,---,---,29.45%,50.40%,53.13%,0.15%,
,188,018287,信澳优势产业,07-01,1.4289,1.4289,0.25%,6.48%,23.24%,8.18%,15.86%,53.04%,41.49%,---,15.86%,42.89%,53.04%,0.15%,
,189,008120,万家自主创新,07-01,0.9864,0.9864,-1.50%,1.12%,1.17%,-2.36%,14.37%,52.86%,-15.45%,-13.54%,14.37%,-1.36%,52.86%,0.15%,
,190,519158,新华趋势领航,07-01,2.3766,3.6320,0.50%,6.20%,19.16%,29.35%,18.52%,52.85%,5.91%,-26.00%,18.52%,268.35%,52.85%,0.15%,
,191,020511,金鹰科技致远,07-01,1.5779,1.5779,0.49%,4.85%,11.57%,6.21%,16.04%,52.81%,---,---,16.04%,57.79%,52.81%,0.00%,
,192,009993,嘉实前沿创新,07-01,1.0833,1.0833,-0.29%,1.69%,5.67%,2.63%,17.79%,52.73%,32.81%,10.71%,17.79%,8.33%,52.73%,0.15%,
,193,011144,华安汇宏精选,07-01,1.2609,1.2609,0.78%,2.72%,11.88%,17.93%,22.31%,52.52%,31.70%,33.26%,22.31%,26.09%,52.52%,0.15%,
,194,010350,景顺长城品质,07-01,1.2595,1.2595,0.28%,4.99%,12.02%,7.19%,21.40%,52.37%,62.73%,46.52%,21.40%,25.95%,52.37%,0.15%,
,195,007578,宝盈新锐混合,07-01,2.5700,2.5700,-0.12%,2.43%,8.03%,8.90%,19.53%,52.34%,-5.96%,-26.57%,19.53%,56.33%,52.34%,0.00%,
,196,019348,富国匠心成长,07-01,1.4944,1.4944,0.76%,2.48%,4.42%,2.34%,28.92%,52.32%,---,---,28.92%,49.44%,52.32%,0.00%,
,197,013037,长城大健康混,07-01,0.9648,0.9648,4.44%,2.17%,9.76%,21.74%,49.28%,52.18%,16.99%,-0.36%,49.28%,-3.52%,52.18%,0.15%,
,198,018288,信澳优势产业,07-01,1.4108,1.4108,0.24%,6.46%,23.17%,8.01%,15.50%,52.11%,39.78%,---,15.50%,41.08%,52.11%,0.00%,
,199,008121,万家自主创新,07-01,0.9602,0.9602,-1.49%,1.12%,1.13%,-2.47%,14.09%,52.10%,-16.29%,-14.82%,14.09%,-3.98%,52.10%,0.00%,
,200,015774,长信多利混合,07-01,1.9225,1.9225,0.63%,3.19%,5.37%,13.15%,33.07%,52.10%,31.05%,0.89%,33.07%,15.62%,52.10%,0.00%,
,201,000534,长盛高端装备,07-01,3.5300,4.0180,0.86%,4.93%,5.28%,1.99%,10.76%,52.09%,14.83%,9.40%,10.76%,312.75%,52.09%,0.15%,
,202,010421,海富通消费优,07-01,1.1007,1.1007,0.41%,4.04%,1.76%,15.14%,36.02%,52.05%,31.84%,12.75%,36.02%,10.07%,52.05%,0.15%,
,203,015856,格林碳中和主,07-01,1.2632,1.2632,0.07%,0.91%,11.27%,3.51%,26.06%,51.92%,25.78%,---,26.06%,26.32%,51.92%,0.15%,
,204,011891,易方达先锋成,07-01,1.3102,1.3102,-0.38%,6.49%,27.25%,29.84%,25.86%,51.78%,12.24%,13.76%,25.86%,31.02%,51.78%,0.15%,
,205,017001,格林港股通臻,07-01,1.4507,1.4507,0.00%,1.79%,1.36%,4.99%,22.96%,51.76%,---,---,22.96%,45.07%,51.76%,0.00%,
,206,013488,长信多利混合,07-01,1.9048,1.9048,0.63%,3.20%,5.31%,13.08%,33.04%,51.75%,30.64%,0.42%,33.04%,-5.13%,51.75%,0.00%,
,207,015751,景顺长城品质,07-01,1.2428,1.2428,0.28%,4.98%,11.98%,7.08%,21.13%,51.65%,61.28%,44.63%,21.13%,61.70%,51.65%,0.00%,
,208,011145,华安汇宏精选,07-01,1.2291,1.2291,0.78%,2.71%,11.82%,17.76%,21.93%,51.63%,30.13%,30.89%,21.93%,22.91%,51.63%,0.00%,
,209,011503,建信智能生活,07-01,0.9474,0.9474,-0.03%,0.62%,2.69%,3.46%,19.88%,51.61%,15.09%,-7.45%,19.88%,-5.26%,51.61%,0.15%,
,210,009023,鹏华稳健回报,07-01,1.3270,1.3270,2.35%,5.54%,10.99%,12.51%,19.45%,51.57%,9.32%,3.88%,19.45%,32.70%,51.57%,0.15%,
,211,310388,申万菱信消费,07-01,1.5120,2.9150,1.54%,2.86%,0.60%,20.96%,31.25%,51.35%,-0.66%,-9.15%,31.25%,228.33%,51.35%,0.15%,
,212,010422,海富通消费优,07-01,1.0778,1.0778,0.42%,4.02%,1.71%,15.00%,35.69%,51.31%,30.52%,11.08%,35.69%,7.78%,51.31%,0.00%,
,213,519087,新华优选分红,07-01,0.7239,4.2961,0.29%,5.68%,18.69%,29.01%,19.14%,51.29%,7.04%,-10.25%,19.14%,816.26%,51.29%,0.12%,
,214,015857,格林碳中和主,07-01,1.2501,1.2501,0.07%,0.91%,11.24%,3.43%,25.82%,51.27%,24.74%,---,25.82%,25.01%,51.27%,0.00%,
,215,017485,长盛高端装备,07-01,3.4790,3.9670,0.81%,4.88%,5.20%,1.84%,10.44%,51.20%,13.47%,---,10.44%,15.40%,51.20%,0.00%,
,216,011892,易方达先锋成,07-01,1.2904,1.2904,-0.38%,6.47%,27.20%,29.70%,25.61%,51.17%,11.33%,12.38%,25.61%,29.04%,51.17%,0.00%,
,217,012586,南方港股创新,07-01,1.4786,1.4786,-0.07%,1.02%,4.70%,12.10%,33.23%,51.17%,56.73%,52.17%,33.23%,47.86%,51.17%,0.15%,
,218,013356,大摩沪港深精,07-01,0.7070,0.7070,2.05%,-0.46%,7.79%,15.18%,41.37%,51.07%,11.09%,-29.62%,41.37%,-29.30%,51.07%,0.15%,
,219,017511,鹏华稳健回报,07-01,1.1214,1.1214,2.35%,5.54%,10.96%,12.39%,19.22%,51.03%,8.49%,---,19.22%,12.14%,51.03%,0.00%,
,220,013038,长城大健康混,07-01,0.9379,0.9379,4.43%,2.15%,9.68%,21.49%,48.68%,50.96%,15.12%,-2.73%,48.68%,-6.21%,50.96%,0.00%,
,221,015254,申万菱信消费,07-01,1.4140,1.5750,1.58%,2.91%,0.64%,20.85%,31.05%,50.91%,-1.48%,-10.19%,31.05%,2.05%,50.91%,0.00%,
,222,016515,申万菱信智能,07-01,1.3549,1.3549,-0.18%,2.34%,7.05%,7.39%,14.70%,50.83%,30.43%,---,14.70%,35.49%,50.83%,0.15%,
,223,019392,嘉实匠心严选,07-01,1.4618,1.4618,-0.23%,0.65%,1.58%,-1.67%,20.81%,50.79%,---,---,20.81%,46.18%,50.79%,0.15%,
,224,240020,华宝医药生物,07-01,3.3350,4.2350,4.64%,3.15%,6.75%,24.86%,51.11%,50.70%,25.61%,16.05%,51.11%,413.73%,50.70%,0.15%,
,225,011673,长城医药科技,07-01,0.8007,0.8007,4.11%,1.96%,9.71%,21.84%,47.21%,50.62%,17.04%,-4.19%,47.21%,-19.93%,50.62%,0.15%,
,226,217021,招商优势企业,07-01,5.1154,5.1154,-0.03%,1.69%,4.39%,-2.43%,12.06%,50.52%,17.81%,60.01%,12.06%,411.54%,50.52%,0.15%,
,227,501077,富国创新企业,07-01,1.9296,1.9296,0.22%,0.63%,2.98%,-2.09%,9.26%,50.49%,7.88%,-0.74%,9.26%,92.96%,50.49%,0.15%,
,228,013357,大摩沪港深精,07-01,0.6973,0.6973,2.03%,-0.49%,7.72%,15.05%,41.07%,50.44%,10.21%,-30.42%,41.07%,-30.27%,50.44%,0.00%,
,229,017000,格林港股通臻,07-01,1.4393,1.4393,0.00%,1.80%,1.38%,5.12%,22.85%,50.41%,---,---,22.85%,43.93%,50.41%,0.15%,
,230,001892,长盛新兴成长,07-01,2.2510,2.2510,0.90%,5.19%,5.48%,2.04%,10.72%,50.37%,14.32%,13.23%,10.72%,125.10%,50.37%,0.15%,
